#k_fold_value, accuracy
0, 0.500000 
1, 0.388889 
2, 0.500000 
3, 0.388889 
4, 0.500000 
5, 0.611111 
6, 0.555556 
7, 0.777778 
8, 0.555556 
9, 0.611111 
10, 0.777778 
11, 0.833333 
12, 0.888889 
13, 0.611111 
14, 0.722222 
15, 0.500000 
16, 0.722222 
17, 0.777778 
18, 0.666667 


#mean: 0.625731 
#variance: 0.020417 
#sta_dev: 0.142886 
#Mean Square Error: 63 ± 14% 


#Confusion Matrix
#6, 3
#6, 3

#4, 5
#6, 3

#7, 2
#7, 2

#5, 4
#7, 2

#5, 4
#5, 4

#5, 4
#3, 6

#4, 5
#3, 6

#8, 1
#3, 6

#4, 5
#3, 6

#5, 4
#3, 6

#7, 2
#2, 7

#9, 0
#3, 6

#9, 0
#2, 7

#7, 2
#5, 4

#6, 3
#2, 7

#3, 6
#3, 6

#5, 4
#1, 8

#6, 3
#1, 8

#6, 3
#3, 6

