#k_fold_value, accuracy 
0, 0.555556 
1, 0.500000 
2, 0.611111 
3, 0.444444 
4, 0.666667 
5, 0.833333 
6, 0.444444 
7, 0.666667 
8, 0.666667 
9, 0.833333 
10, 0.777778 
11, 0.722222 
12, 0.722222 
13, 0.611111 
14, 0.666667 
15, 0.666667 
16, 0.555556 
17, 0.611111 
18, 0.722222 


#mean: 0.646199 
#variance: 0.012089 
#sta_dev: 0.109951 
#Mean Square Error: 65 ± 11% 


#Confusion Matrix
#6, 3
#6, 3

#3, 6
#4, 5

#7, 2
#6, 3

#4, 5
#6, 3

#6, 3
#5, 4

#6, 3
#0, 9

#4, 5
#5, 4

#6, 3
#3, 6

#4, 5
#2, 7

#9, 0
#4, 5

#5, 4
#2, 7

#7, 2
#4, 5

#8, 1
#4, 5

#7, 2
#5, 4

#6, 3
#3, 6

#4, 5
#3, 6

#5, 4
#5, 4

#5, 4
#3, 6

#7, 2
#3, 6

-----------------------
