#k_fold_value is 0 
#index, accuracy
0, 0.500000 
#k_fold_value is 1 
#index, accuracy
0, 0.388889 
#k_fold_value is 2 
#index, accuracy
0, 0.500000 
#k_fold_value is 3 
#index, accuracy
0, 0.388889 
#k_fold_value is 4 
#index, accuracy
0, 0.500000 
#k_fold_value is 5 
#index, accuracy
0, 0.611111 
#k_fold_value is 6 
#index, accuracy
0, 0.555556 
#k_fold_value is 7 
#index, accuracy
0, 0.777778 
#k_fold_value is 8 
#index, accuracy
0, 0.555556 
#k_fold_value is 9 
#index, accuracy
0, 0.611111 
#k_fold_value is 10 
#index, accuracy
0, 0.777778 
#k_fold_value is 11 
#index, accuracy
0, 0.833333 
#k_fold_value is 12 
#index, accuracy
0, 0.888889 
#k_fold_value is 13 
#index, accuracy
0, 0.611111 
#k_fold_value is 14 
#index, accuracy
0, 0.722222 
#k_fold_value is 15 
#index, accuracy
0, 0.500000 
#k_fold_value is 16 
#index, accuracy
0, 0.722222 
#k_fold_value is 17 
#index, accuracy
0, 0.777778 
#k_fold_value is 18 
#index, accuracy
0, 0.666667 
-----------------------
